name,type,category,population
Bahamas,4,Bahamas,325014
Bahamas,4,World,6146730689
Bahamas,5,Bahamas,373272
Bahamas,5,World,6983411726
Bahamas,6,Bahamas,392697
Bahamas,6,World,7424417064
Bahamas,7,Bahamas,406471
Bahamas,7,World,7838844132
Bahrain,1,Bahrain,222555
Bahrain,1,World,3693914106
Bahrain,2,Bahrain,362595
Bahrain,2,World,4442037776
Bahrain,3,Bahrain,517418
Bahrain,3,World,5313674247
Bahrain,4,Bahrain,711442
Bahrain,4,World,6146344261
Bahrain,5,Bahrain,1213645
Bahrain,5,World,6982571353
Bahrain,6,Bahrain,1362142
Bahrain,6,World,7423447619
Bahrain,7,Bahrain,1477469
Bahrain,7,World,7837773134
Bangladesh,1,Bangladesh,67541860
Bangladesh,1,World,3626594801
Bangladesh,2,Bangladesh,83929765
Bangladesh,2,World,4358470606
Bangladesh,3,Bangladesh,107147651
Bangladesh,3,World,5207044014
Bangladesh,4,Bangladesh,129193327
Bangladesh,4,World,6017862376
Bangladesh,5,Bangladesh,148391139
Bangladesh,5,World,6835393859
Bangladesh,6,Bangladesh,157830000
Bangladesh,6,World,7266979761
Bangladesh,7,Bangladesh,167420951
Bangladesh,7,World,7671829652
Barbados,1,Barbados,241397
Barbados,1,World,3693895264
Barbados,2,Barbados,253575
Barbados,2,World,4442146796
Barbados,3,Barbados,258868
Barbados,3,World,5313932797
Barbados,4,Barbados,264657
Barbados,4,World,6146791046
Barbados,5,Barbados,274711
Barbados,5,World,6983510287
Barbados,6,Barbados,278083
Barbados,6,World,7424531678
Barbados,7,Barbados,280693
Barbados,7,World,7838969910
Belarus,1,Belarus,9170786
Belarus,1,World,3684965875
Belarus,2,Belarus,9817257
Belarus,2,World,4432583114
Belarus,3,Belarus,10428525
Belarus,3,World,5303763140
Belarus,4,Belarus,10256483
Belarus,4,World,6136799220
Belarus,5,Belarus,9731427
Belarus,5,World,6974053571
Belarus,6,Belarus,9700609
Belarus,6,World,7415109152
Belarus,7,Belarus,9633740
Belarus,7,World,7829616863
Belgium,1,Belgium,9629376
