name,type,category,population
Azerbaijan,7,Asia,4652801584
Bahamas,1,Bahamas,179129
Bahamas,1,North America,315255477
Bahamas,2,Bahamas,223752
Bahamas,2,North America,368069609
Bahamas,3,Bahamas,270679
Bahamas,3,North America,420995746
Bahamas,4,Bahamas,325014
Bahamas,4,North America,485744570
Bahamas,5,Bahamas,373272
Bahamas,5,North America,542347379
Bahamas,6,Bahamas,392697
Bahamas,6,North America,569991153
Bahamas,7,Bahamas,406471
Bahamas,7,North America,593830122
Bahrain,1,Bahrain,222555
Bahrain,1,Asia,2144683735
Bahrain,2,Bahrain,362595
Bahrain,2,Asia,2634971633
Bahrain,3,Bahrain,517418
Bahrain,3,Asia,3210046159
Bahrain,4,Bahrain,711442
Bahrain,4,Asia,3734378162
Bahrain,5,Bahrain,1213645
Bahrain,5,Asia,4218827682
Bahrain,6,Bahrain,1362142
Bahrain,6,Asia,4456888040
Bahrain,7,Bahrain,1477469
Bahrain,7,Asia,4661609066
Bangladesh,1,Bangladesh,67541860
Bangladesh,1,Asia,2077364430
Bangladesh,2,Bangladesh,83929765
Bangladesh,2,Asia,2551404463
Bangladesh,3,Bangladesh,107147651
Bangladesh,3,Asia,3103415926
Bangladesh,4,Bangladesh,129193327
Bangladesh,4,Asia,3605896277
Bangladesh,5,Bangladesh,148391139
Bangladesh,5,Asia,4071650188
Bangladesh,6,Bangladesh,157830000
Bangladesh,6,Asia,4300420182
Bangladesh,7,Bangladesh,167420951
Bangladesh,7,Asia,4495665584
Barbados,1,Barbados,241397
Barbados,1,North America,315193209
Barbados,2,Barbados,253575
Barbados,2,North America,368039786
Barbados,3,Barbados,258868
Barbados,3,North America,421007557
Barbados,4,Barbados,264657
Barbados,4,North America,485804927
Barbados,5,Barbados,274711
Barbados,5,North America,542445940
Barbados,6,Barbados,278083
Barbados,6,North America,570105767
Barbados,7,Barbados,280693
Barbados,7,North America,593955900
Belarus,1,Belarus,9170786
Belarus,1,Europe,646753205
Belarus,2,Belarus,9817257
Belarus,2,Europe,682709902
Belarus,3,Belarus,10428525
Belarus,3,Europe,709892272
Belarus,4,Belarus,10256483
Belarus,4,Europe,715836940
Belarus,5,Belarus,9731427
Belarus,5,Europe,725882507
Belarus,6,Belarus,9700609
Belarus,6,Europe,731834999
Belarus,7,Belarus,9633740
Belarus,7,Europe,736158456
Belgium,1,Belgium,9629376
Belgium,1,Europe,646294615
Belgium,2,Belgium,9828986
Belgium,2,Europe,682698173
Belgium,3,Belgium,9959560
Belgium,3,Europe,710361237
Belgium,4,Belgium,10264343
Belgium,4,Europe,715829080
Belgium,5,Belgium,10877947
Belgium,5,Europe,724735987
Belgium,6,Belgium,11248303
Belgium,6,Europe,730287305
Belgium,7,Belgium,11561717
Belgium,7,Europe,734230479
Belize,1,Belize,120905
Belize,1,North America,315313701
Belize,2,Belize,145133
Belize,2,North America,368148228
Belize,3,Belize,182589
Belize,3,North America,421083836
Belize,4,Belize,240406
Belize,4,North America,485829178
Belize,5,Belize,322106
Belize,5,North America,542398545
Belize,6,Belize,359871
Belize,6,North America,570023979
Belize,7,Belize,394921
Belize,7,North America,593841672
Benin,1,Benin,3023443
Benin,1,Africa,362420905
Benin,2,Benin,3833939
Benin,2,Africa,477702438
Benin,3,Benin,5133419
Benin,3,Africa,633017210
Benin,4,Benin,6998023
Benin,4,Africa,811948009
Benin,5,Benin,9445710
Benin,5,Africa,1045782362
Benin,6,Benin,10932783
Benin,6,Africa,1190169659
Benin,7,Benin,12643123
Benin,7,Africa,1348028687
Bermuda,1,Bermuda,52019
Bermuda,1,North America,315382587
Bermuda,2,Bermuda,53565
Bermuda,2,North America,368239796
Bermuda,3,Bermuda,57470
Bermuda,3,North America,421208955
Bermuda,4,Bermuda,61371
Bermuda,4,North America,486008213
Bermuda,5,Bermuda,63447
Bermuda,5,North America,542657204
Bermuda,6,Bermuda,63144
Bermuda,6,North America,570320706
Bermuda,7,Bermuda,64031
Bermuda,7,North America,594172562
Bhutan,1,Bhutan,298894
Bhutan,1,Asia,2144607396
Bhutan,2,Bhutan,415257
Bhutan,2,Asia,2634918971
Bhutan,3,Bhutan,558442
Bhutan,3,Asia,3210005135
Bhutan,4,Bhutan,587207
Bhutan,4,Asia,3734502397
Bhutan,5,Bhutan,705516
Bhutan,5,Asia,4219335811
Bhutan,6,Bhutan,743274
Bhutan,6,Asia,4457506908
Bhutan,7,Bhutan,772506
Bhutan,7,Asia,4662314029
Bolivia,1,Bolivia,4585693
Bolivia,1,South America,188361463
Bolivia,2,Bolivia,5736088
Bolivia,2,South America,236052918
Bolivia,3,Bolivia,7096194
Bolivia,3,South America,290050221
Bolivia,4,Bolivia,8592656
Bolivia,4,South America,341041626
Bolivia,5,Bolivia,10223270
Bolivia,5,South America,382854980
Bolivia,6,Bolivia,11090085
Bolivia,6,South America,402044311
Bolivia,7,Bolivia,11936162
Bolivia,7,South America,419593881
Bosnia and Herzegovina,1,Bosnia and Herzegovina,3815561
Bosnia and Herzegovina,1,Europe,652108430
Bosnia and Herzegovina,2,Bosnia and Herzegovina,4199820
Bosnia and Herzegovina,2,Europe,688327339
Bosnia and Herzegovina,3,Bosnia and Herzegovina,4494310
Bosnia and Herzegovina,3,Europe,715826487
Bosnia and Herzegovina,4,Bosnia and Herzegovina,4179350
Bosnia and Herzegovina,4,Europe,721914073
Bosnia and Herzegovina,5,Bosnia and Herzegovina,3811088
Bosnia and Herzegovina,5,Europe,731802846
Bosnia and Herzegovina,6,Bosnia and Herzegovina,3524324
Bosnia and Herzegovina,6,Europe,738011284
Bosnia and Herzegovina,7,Bosnia and Herzegovina,3318407
Bosnia and Herzegovina,7,Europe,742473789
Botswana,1,Botswana,592244
Botswana,1,Africa,364852104
Botswana,2,Botswana,938578
Botswana,2,Africa,480597799
Botswana,3,Botswana,1341474
Botswana,3,Africa,636809155
Botswana,4,Botswana,1726985
Botswana,4,Africa,817219047
Botswana,5,Botswana,2091664
Botswana,5,Africa,1053136408
Botswana,6,Botswana,2305171
Botswana,6,Africa,1198797271
Botswana,7,Botswana,2546402
Botswana,7,Africa,1358125408
Brazil,1,Brazil,96369875
Brazil,1,South America,96577281
Brazil,2,Brazil,122288383
Brazil,2,South America,119500623
Brazil,3,Brazil,150706446
Brazil,3,South America,146439969
Brazil,4,Brazil,175873720
Brazil,4,South America,173760562
Brazil,5,Brazil,196353492
Brazil,5,South America,196724758
Brazil,6,Brazil,205188205
Brazil,6,South America,207946191
Brazil,7,Brazil,213196304
Brazil,7,South America,218333739
British Virgin Islands,1,British Virgin Islands,9581
British Virgin Islands,1,North America,315425025
British Virgin Islands,2,British Virgin Islands,11109
British Virgin Islands,2,North America,368282252
British Virgin Islands,3,British Virgin Islands,15617
British Virgin Islands,3,North America,421250808
British Virgin Islands,4,British Virgin Islands,20104
British Virgin Islands,4,North America,486049480
British Virgin Islands,5,British Virgin Islands,27556
British Virgin Islands,5,North America,542693095
British Virgin Islands,6,British Virgin Islands,29366
British Virgin Islands,6,North America,570354484
British Virgin Islands,7,British Virgin Islands,30910
British Virgin Islands,7,North America,594205683
Brunei,1,Brunei,133343
Brunei,1,Asia,2144772947
Brunei,2,Brunei,187921
Brunei,2,Asia,2635146307
Brunei,3,Brunei,261928
Brunei,3,Asia,3210301649
Brunei,4,Brunei,333926
Brunei,4,Asia,3734755678
Brunei,5,Brunei,396053
Brunei,5,Asia,4219645274
Brunei,6,Brunei,421437
Brunei,6,Asia,4457828745
Brunei,7,Brunei,441725
Brunei,7,Asia,4662644810
Bulgaria,1,Bulgaria,8582950
Bulgaria,1,Europe,647341041
Bulgaria,2,Bulgaria,8980606
Bulgaria,2,Europe,683546553
Bulgaria,3,Bulgaria,8767778
Bulgaria,3,Europe,711553019
Bulgaria,4,Bulgaria,8097691
Bulgaria,4,Europe,717995732
Bulgaria,5,Bulgaria,7592273
Bulgaria,5,Europe,728021661
Bulgaria,6,Bulgaria,7309253
Bulgaria,6,Europe,734226355
Bulgaria,7,Bulgaria,6979175
Bulgaria,7,Europe,738813021
Burkina Faso,1,Burkina Faso,5611666
Burkina Faso,1,Africa,359832682
Burkina Faso,2,Burkina Faso,6932967
Burkina Faso,2,Africa,474603410
Burkina Faso,3,Burkina Faso,9131361
Burkina Faso,3,Africa,629019268
Burkina Faso,4,Burkina Faso,11882888
Burkina Faso,4,Africa,807063144
Burkina Faso,5,Burkina Faso,16116845
Burkina Faso,5,Africa,1039111227
Burkina Faso,6,Burkina Faso,18718019
Burkina Faso,6,Africa,1182384423
Burkina Faso,7,Burkina Faso,21522626
Burkina Faso,7,Africa,1339149184
Burundi,1,Burundi,3497834
Burundi,1,Africa,361946514
Burundi,2,Burundi,4312834
Burundi,2,Africa,477223543
Burundi,3,Burundi,5483793
Burundi,3,Africa,632666836
Burundi,4,Burundi,6307659
Burundi,4,Africa,812638373
Burundi,5,Burundi,9126605
Burundi,5,Africa,1046101467
Burundi,6,Burundi,10727148
Burundi,6,Africa,1190375294
Burundi,7,Burundi,12220227
Burundi,7,Africa,1348451583
Cambodia,1,Cambodia,6708525
Cambodia,1,Asia,2138197765
Cambodia,2,Cambodia,6198959
Cambodia,2,Asia,2629135269
Cambodia,3,Cambodia,8910808
Cambodia,3,Asia,3201652769
Cambodia,4,Cambodia,12118841
Cambodia,4,Asia,3722970763
Cambodia,5,Cambodia,14363532
Cambodia,5,Asia,4205677795
Cambodia,6,Cambodia,15417523
Cambodia,6,Asia,4442832659
Cambodia,7,Cambodia,16396860
Cambodia,7,Asia,4646689675
Cameroon,1,Cameroon,6452787
Cameroon,1,Africa,358991561
Cameroon,2,Cameroon,8519891
Cameroon,2,Africa,473016486
Cameroon,3,Cameroon,11430520
Cameroon,3,Africa,626720109
Cameroon,4,Cameroon,15091594
Cameroon,4,Africa,803854438
Cameroon,5,Cameroon,19878036
Cameroon,5,Africa,1035350036
Cameroon,6,Cameroon,23012646
Cameroon,6,Africa,1178089796
Cameroon,7,Cameroon,26491087
Cameroon,7,Africa,1334180723
Canada,1,Canada,21434577
Canada,1,North America,294000029
Canada,2,Canada,24511510
Canada,2,North America,343781851
Canada,3,Canada,27657204
Canada,3,North America,393609221
Canada,4,Canada,30683313
Canada,4,North America,455386271
Canada,5,Canada,33963412
Canada,5,North America,508757239
Canada,6,Canada,35732126
Canada,6,North America,534651724
Canada,7,Canada,37888705
Canada,7,North America,556347888
Cape Verde,1,Cape Verde,287262
Cape Verde,1,Africa,365157086
Cape Verde,2,Cape Verde,317234
